Year,Region,"Total Population
(year-end)
(10 000 persons)",Urban Population,Urban Population Proportion (%),Rural Population,Rural Population Proportion (%),"Birth Rate
(‰)","Death Rate
(‰)","Natural
Growth Rate
(‰)","Sex Ratio
(Female=100)","Never
Married (%)above 15 years old","Children
Dependency
Ratio","Dependency
Ratio","Percentage
of Illiterate
Population to
Total Aged 15
and Over(%)","Gross
Regional
Product (100 million yuan)",Unemployment (10 000 persons),CPI (Last year = 100）
2022,Beijing,2184.00,1913.00,87.57,271.00,12.43,5.67,5.72,-0.05,104.18,21.06,16.57,20.76,0.84,41610.9,36.40,101.80
2022,Tianjin,1363.00,1160.00,85.11,203.00,14.89,4.75,6.43,-1.68,105.01,18.46,18.51,24.28,1.65,16311.3,25.40,101.90
2022,Hebei,7420.00,4575.00,61.65,2845.00,38.35,6.09,7.80,-1.71,98.77,16.54,28.22,23.77,2.18,42370.4,20.50,101.80
2022,Shanxi,3481.00,2226.00,63.96,1255.00,36.04,6.75,7.73,-0.98,104.37,18.70,21.99,20.66,1.73,25642.6,19.90,102.10
2022,Inner Mongolia,2401.00,1647.00,68.60,754.00,31.40,5.58,7.83,-2.25,104.11,15.75,18.45,20.40,3.75,23158.6,29.00,101.80
2022,Liaoning,4197.00,3064.00,73.00,1133.00,27.00,4.08,9.04,-4.96,97.25,16.06,14.97,28.77,1.49,28975.1,48.50,102.00
2022,Jilin,2348.00,1496.00,63.72,852.00,36.28,4.32,8.39,-4.07,99.82,15.72,15.08,24.84,1.82,13070.2,19.60,102.10
2022,Heilongjiang,3099.00,2052.00,66.21,1047.00,33.79,3.34,9.09,-5.75,99.96,16.27,12.71,24.44,2.48,15901,20.20,101.90
2022,Shanghai,2475.00,2211.00,89.33,264.00,10.67,4.35,5.96,-1.61,107.87,19.28,13.66,26.09,1.66,44652.8,14.60,102.50
2022,Jiangsu,8515.00,6337.00,74.42,2178.00,25.58,5.23,7.04,-1.81,103.00,15.96,20.82,26.29,2.79,122875.6,62.90,102.20
2022,Zhejiang,6577.00,4826.00,73.38,1751.00,26.62,6.28,6.24,0.04,109.39,17.88,17.95,20.67,3.71,77715.4,37.20,102.20
2022,Anhui,6127.00,3686.00,60.15,2441.00,39.85,7.16,8.09,-0.93,104.25,17.62,27.21,23.86,5.05,45045,17.90,102.00
2022,Fujian,4188.00,2937.00,70.11,1251.00,29.89,7.07,6.52,0.55,107.38,19.52,26.47,17.56,2.90,53109.9,28.30,101.90
2022,Jiangxi,4528.00,2811.00,62.07,1717.00,37.93,7.19,6.94,0.25,106.92,22.66,29.59,19.42,2.37,32074.7,28.50,102.00
2022,Shandong,10163.00,6559.00,64.54,3604.00,35.46,6.71,7.64,-0.93,102.88,17.02,27.29,25.56,4.28,87435.1,20.40,101.70
2022,Henan,9872.00,5633.00,57.07,4239.00,42.93,7.42,7.50,-0.08,100.79,22.16,33.16,22.67,3.20,61345.1,54.60,101.50
2022,Hubei,5844.00,3779.00,64.67,2065.00,35.33,6.08,8.09,-2.01,106.18,18.30,22.53,23.85,3.02,53734.9,51.20,102.10
2022,Hunan,6604.00,3983.00,60.31,2621.00,39.69,6.23,8.54,-2.31,104.83,20.05,27.63,24.53,2.41,48670.4,25.30,101.80
2022,Guangdong,12657.00,9465.00,74.79,3192.00,25.21,8.30,4.97,3.33,111.55,26.56,25.67,13.34,2.19,129118.6,53.90,102.20
2022,Guangxi,5047.00,2809.00,55.65,2238.00,44.35,8.51,7.08,1.43,107.25,24.75,34.25,20.30,2.96,26300.9,22.80,101.90
2022,Hainan,1027.00,631.00,61.49,396.00,38.51,8.60,6.16,2.44,113.36,25.31,27.24,16.19,3.66,6818.2,10.90,101.60
2022,Chongqing,3213.00,2280.00,70.96,933.00,29.04,5.98,8.09,-2.11,102.04,20.36,21.70,27.26,2.20,29129,21.90,102.10
2022,Sichuan,8374.00,4886.00,58.35,3488.00,41.65,6.39,9.04,-2.65,101.78,19.35,22.52,27.12,4.29,56749.8,51.60,102.00
2022,Guizhou,3856.00,2114.00,54.81,1742.00,45.19,11.03,7.32,3.71,104.55,22.53,35.60,18.71,7.98,20164.6,32.90,101.60
2022,Yunnan,4693.00,2427.00,51.72,2266.00,48.28,8.14,8.21,-0.07,106.10,21.60,26.94,16.77,5.56,28954.2,32.50,101.60
2022,Tibet,364.00,136.00,37.39,228.00,62.61,14.24,5.48,8.76,109.70,32.42,35.66,8.49,34.55,2132.6,1.80,101.50
2022,Shaanxi,3956.00,2532.00,64.02,1424.00,35.98,7.36,7.64,-0.28,104.10,18.31,24.51,21.42,3.35,32772.7,23.80,102.10
2022,Gansu,2492.00,1351.00,54.19,1141.00,45.81,8.47,8.51,-0.04,103.21,19.29,27.58,19.80,9.05,11201.6,13.40,101.90
2022,Qinghai,595.00,366.00,61.43,229.00,38.57,10.60,7.23,3.37,100.95,23.27,29.20,14.70,9.69,3610.1,2.10,102.40
2022,Ningxia,728.00,483.00,66.34,245.00,33.66,10.60,6.19,4.41,103.89,19.05,27.99,14.90,5.96,5069.6,10.90,102.30
2022,Xinjiang,2587.00,1498.00,57.89,1089.00,42.11,6.53,5.76,0.77,107.03,21.60,29.46,11.86,3.91,17741.3,8.80,101.80
2021,Beijing,2189.00,1916.00,87.50,273.00,12.52,6.35,5.39,0.96,104.26,21.09,16.44,19.33,0.79,40269.60,37.20,101.10
2021,Tianjin,1373.00,1165.00,84.88,208.00,15.15,5.30,6.23,-0.93,105.28,18.19,18.74,22.49,1.66,15695.00,27.50,101.30
2021,Hebei,7448.00,4554.00,61.14,2894.00,38.86,7.15,7.58,-0.43,98.98,15.51,29.18,22.65,2.02,40391.30,40.20,101.00
2021,Shanxi,3480.00,2207.00,63.42,1273.00,36.58,7.06,7.32,-0.26,104.40,18.33,22.58,19.43,1.68,22590.20,20.00,101.00
2021,Inner Mongolia,2400.00,1637.00,68.21,763.00,31.79,6.26,7.54,-1.28,104.38,15.82,18.95,19.11,3.66,20514.20,30.50,100.90
2021,Liaoning,4229.00,3079.00,72.81,1150.00,27.19,4.71,8.89,-4.18,97.60,15.86,15.29,26.70,1.11,27584.10,47.70,101.10
2021,Jilin,2375.00,1505.00,63.36,870.00,36.63,4.70,8.08,-3.38,100.30,15.45,15.52,23.19,1.31,13235.50,19.10,100.60
2021,Heilongjiang,3125.00,2053.00,65.69,1072.00,34.30,3.59,8.70,-5.11,100.42,15.59,13.31,22.84,2.15,14879.20,28.50,100.60
2021,Shanghai,2489.00,2223.00,89.30,266.00,10.69,4.67,5.59,-0.92,107.75,19.90,13.50,23.99,1.90,43214.90,66.90,101.20
2021,Jiangsu,8505.00,6289.00,73.94,2216.00,26.06,5.65,6.77,-1.12,103.05,15.90,21.51,24.96,3.04,116364.20,49.10,101.60
2021,Zhejiang,6540.00,4752.00,72.66,1788.00,27.34,6.90,5.90,1.00,109.45,17.78,18.25,19.52,3.55,73515.80,45.30,101.50
2021,Anhui,6113.00,3631.00,59.39,2482.00,40.60,8.05,8.00,0.05,104.35,17.61,28.29,23.43,5.40,42959.20,25.40,100.90
2021,Fujian,4187.00,2918.00,69.70,1269.00,30.31,8.26,6.28,1.98,107.50,19.13,27.16,16.59,2.50,48810.40,38.00,100.70
2021,Jiangxi,4517.00,2776.00,61.46,1741.00,38.54,8.34,6.71,1.63,107.05,21.62,31.32,18.60,2.55,29619.70,29.90,100.90
2021,Shandong,10170.00,6503.00,63.94,3667.00,36.06,7.38,7.36,0.02,103.05,16.25,28.05,24.25,3.98,83095.90,62.40,101.20
2021,Henan,9883.00,5579.00,56.45,4304.00,43.55,8.00,7.36,0.64,101.00,21.00,34.79,21.92,2.81,58887.40,65.30,100.90
2021,Hubei,5830.00,3736.00,64.09,2094.00,35.92,6.98,7.86,-0.88,106.28,18.24,23.14,22.46,2.38,50012.90,51.30,100.30
2021,Hunan,6622.00,3954.00,59.71,2668.00,40.29,7.13,8.28,-1.15,105.06,19.58,28.73,23.55,2.24,46063.10,27.70,100.50
2021,Guangdong,12684.00,9466.00,74.63,3218.00,25.37,9.35,4.83,4.52,111.70,26.72,25.97,12.64,1.87,124369.70,82.50,100.80
2021,Guangxi,5037.00,2774.00,55.08,2263.00,44.93,9.68,6.80,2.88,107.47,24.12,35.54,19.52,2.82,24740.90,22.70,100.90
2021,Hainan,1020.00,622.00,60.97,398.00,39.02,9.74,6.01,3.73,113.47,25.40,28.13,15.54,4.18,6475.20,10.10,100.30
2021,Chongqing,3212.00,2259.00,70.32,953.00,29.67,6.49,8.04,-1.55,102.33,19.33,22.81,26.51,1.46,27894.00,18.90,100.30
